-2.4480			-1.230274194					2.170		1.7255				
-2.9210			0.908840909		2.139115103	4.575813422		-0.200		4.7150		-2.9895	8.93720668574402	
-1.7830			15.74054892		35.93309661		0.127342585351886	2.359		19.31512074				
-2.4640			20.19254769					0.750		88.6261385		107.9412592		0.0827969466773821
-2.4280								0.569						
-2.1150								0.659						
-1.9280								0.780						
-1.6220								2.920						
-1.7280								1.285						
-0.8075								3.085						
-1.2800								1.765						
-1.5420								1.080						
-1.1850								2.705						
-1.4270								1.975						
-1.3830								1.462						
-1.2420								1.625						
-1.1010								2.013						
-0.9910								0.900						
-0.3370								1.910						
-0.4345								1.235						
-0.4100								1.799						
-0.3750								2.683						
-0.4635								2.245						
-0.4740								2.650						
-0.3175								1.843						
-0.6635								1.630						
-0.5330								3.045						
-0.9700								0.950						
-1.0930								2.170						
-0.7460								1.875						
-0.9260								1.555						
-1.2020								2.430						
0.0520								2.300						
0.2480								2.396						
0.2780								3.110						
0.2760								3.185						
0.4510								3.650						
0.4555								3.150						
0.5340								3.355						
0.6040								4.121						
0.4280								4.515						
0.6510								3.565						
0.4230								4.008						
0.4470								3.070						
0.0370								5.360						
1.4330								5.910						
1.5360								5.336						
1.8380								6.670						
1.8120								4.935						
2.5530								6.895						
2.2980								7.885						
2.2500								8.570						
2.5920								9.315						
