gene1 gene2 gene3 gene4 label
7.4	1.0	6.2	8.3	-
7.6	0.1	7.4	0.5	-
7.54	2.6	6.3	1.3	-
7.4	1.0	4.6	2.0	-
7.34	1.1	1.3	2.2	-
6.01	0.62	1.0	4.2	-
5.8	0.7	7.7	0.9	-
5.2	0.8	9.8	9.6	-
5.1	0.62	3.3	5.5	-
4.9	2.55	0.5	6.1	-
4.9	1.4	5.0	3.0	-
4.6	0.5	7.3	2.7	-
4.5	1.22	6.6	7.5	-
4.1	0.4	3.3	9.3	-
4.12	0.5	4.0	5.9	-
3.9	0.7	0.3	7.4	-
3.85	0.84	6.1	5.7	-
3.6	0.9	4.4	0.5	-
1.8	0.7	6.8	4.0	-
1.9	0.61	5.1	2.0	-
1.94	0.62	8.7	3.0	-
2.05	0.8	8.5	6.7	-
2.1	0.75	3.9	7.1	-
2.2	0.8	4.6	8.6	-
2.25	1.15	6.5	1.9	-
2.4	0.65	0.4	6.5	-
2.5	0.9	6.2	9.5	-
2.8	0.3	1.5	4.6	-
3.2	0.2	9.7	7.4	-
2.7	0.6	6.4	5.2	-
3.3	0.7	7.9	2.8	-
5.8	2.4	3.8	2.6	+
0.8	0.8	1.2	7.5	+
0.76	1.1	5.7	4.2	+
0.8	1.3	1.3	9.0	+
0.9	1.4	0.6	9.3	+
1.6	2.4	1.1	6.9	+
1.8	2.45	7.3	1.2	+
1.9	2.8	3.4	2.5	+
1.93	2.9	7.1	4.0	+
2.1	2.7	5.3	8.0	+
2.1	3.3	0.6	2.6	+
2.55	3.2	0.3	5.8	+
2.6	3.3	0.2	0.7	+
4.2	3.6	9.7	7.1	+
0.8	3.8	4.3	9.0	+
0.76	3.9	8.5	3.5	+
0.8	4.7	4.3	8.3	+
1.1	5.0	0.2	0.4	+
0.9	6.4	3.3	1.5	+
1.7	6.6	0.8	7.3	+
2.0	6.7	3.5	9.1	+
1.9	7.4	2.2	9.9	+
